player_name,MLBAMID,P_THROWS,Pitches,Appearances,STUFFplus,LOCATIONplus,PITCHINGplus
Jeurys Familia,544727,R,817,48,80.6,94.8,91.7
Tommy Milone,543548,L,238,7,80.6,106.3,99.3
Adrian Sampson,592716,R,1607,20,80.5,101.9,95.2
Brennan Bernardino,657514,L,41,2,80.5,103.8,100.6
Marco Gonzales,594835,L,2823,32,80.4,102.2,93
Eduardo Rodriguez,593958,L,1468,17,80,100.4,93.8
Kris Bubic,663460,L,2262,28,80,97,92.8
Mike Minor,501985,L,1749,19,79.9,96.6,94.4
Michael Plassmeyer,674681,L,99,2,79.8,98.7,97.8
Ashton Goudeau,623485,R,373,12,79.6,98.4,90.1
Sam Selman,572125,L,291,16,79.6,96.4,93
Ross Detwiler,446321,L,465,29,79.5,103.8,92.2
Anibal Sanchez,434671,R,1232,14,79.2,95.8,88.3
Jackson Tetreault,676194,R,365,4,79.2,98.6,91.3
Johnny Cueto,456501,R,2370,25,79.2,102.7,95.5
Sam Clay,621348,L,99,7,79.1,78.9,78.6
T.J. Zeuch,643615,R,250,3,79,93.7,88
Daniel Castano,641447,L,576,10,78.7,101.1,94.4
Ray Kerr,678061,L,88,7,78.5,85.2,87.5
David Price,456034,L,595,40,78.2,104.1,92.3
Kohei Arihara,685503,R,390,5,77.9,91.2,85.8
Zach Davies,605200,R,2290,27,77.8,101.5,96
Jordan Sheffield,642068,R,37,2,77.7,92.9,88.6
Nate Fisher,688010,L,50,1,77.7,113.8,102.4
Dane Dunning,641540,R,2547,29,77.5,96.8,91.7
Bowden Francis,670102,R,9,1,77,92.2,76.8
Kyle Freeland,607536,L,2835,31,76.9,98.9,91.7
Connor Seabold,657756,R,360,5,76.4,95.2,89.8
Luke Barker,673316,R,54,3,76.4,96.6,82.7
Hyun Jin Ryu,547943,L,395,6,76.3,106.2,96.4
Ethan Small,663629,L,132,2,76.1,86.4,88.3
Franmil Reyes,614177,R,10,1,75.7,64.8,62.9
Jerad Eickhoff,595191,R,83,1,75.7,92.5,87.8
Matt Dermody,571616,L,26,1,75.6,101.7,91
Phoenix Sanders,676637,R,213,8,75.6,107.3,101.6
Cole Irvin,608344,L,2601,30,75.4,104.9,96.1
Humberto Castellanos,528748,R,747,11,75.4,99.1,95.8
Phil Gosselin,594838,R,5,1,75.2,85.5,124.6
Cole Sands,663485,R,602,11,74.9,96.8,92
Kenny Rosenberg,670046,L,193,3,74.6,86.8,86.2
Locke St. John,657766,L,29,1,74.5,111.4,104.8
Angel Rondon,667373,R,86,1,74.3,97.8,87
Oliver Perez,424144,L,73,7,74.3,102.2,92
Matt Peacock,676840,R,148,9,74.1,104.3,96.1
Matt Swarmer,664161,R,656,11,74.1,94.5,89.1
Angel Zerpa,672582,L,159,3,73.9,96.6,91
Zac Lowther,675912,L,100,1,73.9,85.8,84.4
Aaron Fletcher,667465,L,173,9,73.8,89.5,86.5
Drew Carlton,656290,R,120,5,73.6,107.5,95.8
Kevin Herget,643361,R,109,3,73.6,98.3,89.6
T.J. McFarland,519008,L,483,28,73.2,94.2,87.9
Josh VanMeter,642165,R,18,1,73,77.1,71.9
Hunter Gaddis,683769,R,171,2,72.9,101.3,89.8
Tanner Tully,668684,L,116,3,72.7,94.8,88.2
Zach Logue,656657,L,1022,14,72.6,96.5,91.4
Jared Koenig,657649,L,653,10,72.1,94.1,87.4
Michael Pineda,501381,R,730,11,72.1,104.8,90.6
