"Name","Team","PA","HR","SB","BABIP+","K%+","BB%+","ISO+","wRC+","Barrels","OPS","Barrel%","Off","EV","playerid"
"Tyler Nevin","BAL","5","0","0","86","0","251","0","105","0",".650","0.0%","0.0","82.3","17893"
"Jarred Kelenic","SEA","58","3","0","63","109","152","161","109","7",".713","19.4%","0.4","87.8","22558"
"Ryan McMahon","COL","43","3","0","96","144","28","154","87","4",".732","14.3%","-0.5","90.4","15112"
"Max Stassi","LAA","19","1","0","69","118","66","167","102","1",".715","8.3%","-0.1","84.2","10059"
"Anthony Rizzo","NYY","43","1","0","71","52","88","77","104","3",".663","10.0%","-0.8","87.4","3473"
"Curt Casali","SEA","14","1","0","38","64","90","167","108","1",".702","10.0%","0.3","87.2","12510"
"Gary Sanchez","MIN","42","2","0","58","150","209","162","104","3",".703","15.0%","-0.1","96.7","11442"
"Jonathan Schoop","DET","38","1","0","90","71","66","98","104","1",".698","3.6%","0.1","84.9","11265"
"Victor Reyes","DET","34","2","0","73","132","37","173","104","3",".716","14.3%","0.2","89.5","15487"
"Jose Ramirez","CLE","53","1","2","112","76","71","98","100","3",".758","7.3%","0.8","84.6","13510"
"Stone Garrett","ARI","19","1","0","114","209","0","215","96","1",".766","10.0%","-0.1","92.2","19273"
"Randy Arozarena","TBR","51","1","1","107","141","123","134","105","5",".716","16.7%","-0.3","90.6","19290"
"Logan O'Hoppe","LAA","16","0","0","126","84","157","0","98","0",".661","0.0%","-0.7","84.3","24729"
"Rowdy Tellez","MIL","43","3","0","49","72","139","157","97","3",".712","9.7%","-0.6","90.1","15679"
"Tommy Edman","STL","31","0","1","108","100","193","50","100","0",".663","0.0%","0.4","86.9","19470"
"Jake Cronenworth","SDP","50","1","0","94","97","120","117","101","1",".709","2.9%","0.5","88.1","18036"
"Mookie Betts","LAD","47","0","0","114","94","76","75","98","2",".691","6.1%","0.1","92.8","13611"
"Cedric Mullins II","BAL","54","2","3","96","108","70","131","99","3",".709","7.9%","0.6","89.0","17929"
"Nathaniel Lowe","TEX","55","2","0","111","139","114","94","99","4",".689","12.1%","-0.4","94.0","19566"
"Austin Hays","BAL","47","1","0","103","77","27","119","99","0",".721","0.0%","0.1","84.3","19363"
"Nate Eaton","KCR","33","0","1","90","27","114","96","94","1",".705","3.6%","-0.1","85.2","25055"
"Robinson Chirinos","BAL","12","1","0","49","113","105","183","98","1",".705","12.5%","-0.1","90.6","3142"
"Cooper Hummel","ARI","12","1","0","57","147","100","194","93","2",".750","28.6%","-0.1","95.0","19458"
"Ian Happ","CHC","50","0","1","111","71","120","43","95","1",".673","2.7%","0.0","91.6","17919"
"Jose Miranda","MIN","49","0","0","118","83","77","30","99","2",".665","5.7%","-0.5","90.8","20538"
"Michael Stefanic","LAA","11","0","0","129","82","0","67","95","0",".700","0.0%","0.0","83.7","25353"
