"Name","Team","PA","HR","SB","Off","wRC+","wOBA","ISO+","Barrel%","BsR","Spd","BB%+","K%+","Oppo%+","EV","maxEV","xwOBA","playerid"
"Andrew McCutchen","MIL","580","17","8","-5.3","98",".309","95","8.6%","-4.1","3.0","118","95","76","89.1","110.6",".325","9847"
"Kyle Farmer","CIN","583","14","4","-10.3","92",".309","85","4.4%","-4.6","3.0","68","75","100","85.5","106.6",".311","14813"
"Mitch Garver","TEX","215","10","1","0.5","101",".308","132","8.8%","0.4","2.0","134","111","80","88.9","111.4",".319","15161"
"Manuel Margot","TBR","363","4","7","4.6","106",".308","68","3.7%","2.3","4.4","83","84","108","89.5","110.4",".299","14712"
"Carlos Santana","- - -","506","19","0","2.0","102",".308","117","9.3%","1.0","1.0","176","78","74","90.7","111.3",".352","2396"
"Nick Fortes","MIA","240","9","5","0.0","100",".308","104","7.0%","0.0","5.8","90","83","97","89.3","108.4",".319","21538"
"Gavin Sheets","CHW","410","15","0","-2.7","100",".308","114","6.5%","-2.6","0.7","83","94","100","88.6","109.7",".283","19901"
"Lane Thomas","WSN","548","17","8","-3.0","96",".308","105","6.5%","-0.6","4.1","90","107","90","86.4","110.1",".286","16939"
"Ben Gamel","PIT","423","9","5","0.0","97",".308","89","6.2%","1.4","4.1","136","102","95","88.8","109.2",".316","12160"
"Tyler O'Neill","STL","383","14","14","1.9","101",".307","106","11.3%","1.4","5.9","119","119","89","89.8","110.3",".331","15711"
"Mike Yastrzemski","SFG","558","17","5","1.8","99",".307","114","11.1%","2.6","4.7","131","112","94","89.9","109.7",".314","14854"
"P.J. Higgins","CHC","229","6","0","-2.0","97",".306","100","3.4%","-1.2","2.2","115","112","122","86.0","104.3",".264","18433"
"Dylan Carlson","STL","488","8","5","4.0","100",".306","93","4.4%","3.8","4.9","110","85","106","86.1","109.2",".301","20126"
"Emmanuel Rivera","- - -","359","12","1","-2.7","95",".306","116","9.3%","-0.9","4.0","78","103","104","90.4","110.9",".310","19890"
"Brandon Lowe","TBR","266","8","1","3.3","104",".306","108","10.3%","2.0","4.2","128","103","101","89.4","112.2",".320","18882"
"Jace Peterson","MIL","328","8","12","3.7","96",".306","94","7.2%","5.2","6.6","120","115","90","88.6","108.8",".303","12325"
"J.P. Crawford","SEA","603","6","3","1.5","104",".306","62","2.0%","-1.0","3.2","142","60","111","85.1","109.3",".315","15491"
"Jonah Heim","TEX","450","16","2","-2.4","99",".306","115","6.9%","-1.8","3.2","114","87","64","89.3","112.4",".291","16930"
"Santiago Espinal","TOR","491","7","6","-1.9","99",".305","69","3.4%","-1.5","2.7","92","62","95","86.1","107.5",".298","19997"
"Josh Harrison","CHW","425","7","2","-2.7","98",".305","76","3.8%","-1.6","4.0","62","75","100","87.4","106.0",".284","8202"
"Jorge Soler","MIA","306","13","0","-1.4","98",".305","124","12.1%","-0.8","1.6","121","130","65","91.2","117.6",".322","14221"
"Rafael Ortega","CHC","371","7","12","-5.2","96",".305","76","4.8%","-3.5","4.2","142","88","99","87.2","108.4",".307","10323"
"Ozzie Albies","ATL","269","8","3","-0.7","93",".305","104","5.4%","1.5","3.3","71","77","72","87.1","106.6",".297","16556"
"Franchy Cordero","BOS","275","8","4","0.2","92",".304","119","12.3%","2.6","5.1","128","151","105","89.7","117.9",".313","14567"
